"Runtime","Genre","Rating","Gross_Earning_in_Mil"
127,"Drama",7.3,NA
106,"Crime",6.5,44.07
97,"Crime",5.8,159.34
90,"Drama",7.5,188.02
117,"Animation",8.4,190.24
113,"Action",5.6,143.01
120,"Comedy",6.9,174.53
143,"Action",6.9,335.06
140,"Action",7.5,137.69
134,"Action",7.3,700.06
100,"Action",6.9,69.18
152,"Fantasy",6.8,2.47
119,"Action",7.7,324.59
96,"Horror",5.3,117.45
149,"Action",8.4,678.82
134,"Adventure",6.6,159.56
136,"Drama",7.7,215.29
110,"Action",6.8,NA
135,"Biography",7.5,140.22
130,"Biography",8.2,49.28
107,"Action",6.1,85.08
147,"Action",7.7,101.03
140,"Action",6.6,220.16
117,"Comedy",6.8,46.87
97,"Animation",6.3,53.55
112,"Action",6.7,167.51
90,"Adventure",5.6,213.52
110,"Action",6.6,NA
111,"Drama",6.2,46.7
115,"Adventure",6.8,21.7
130,"Drama",6.3,0.37
128,"Action",6.2,32.73
134,"Biography",8,417.72
124,"Horror",6.6,216.43
120,"Biography",7.1,24.62
121,"Action",6.5,NA
115,"Action",6.1,1.21
99,"Drama",6,14.84
105,"Drama",4.5,100.41
116,"Crime",7,NA
86,"Horror",5.2,103.8
135,"Action",6.9,14.84
103,"Horror",5.7,213.77
133,"Comedy",7.3,67.75
100,"Action",7.5,11.98
132,"Biography",7.2,47.84
94,"Biography",5.3,36.25
97,"Drama",7.1,0.8
93,"Horror",3.2,NA
114,"Comedy",6.6,NA
119,"Action",6.3,30.57
130,"Drama",7.1,120.63
119,"Biography",7.5,58.25
100,"Horror",5.2,115.72
141,"Biography",7.3,34.37
126,"Drama",8.4,41.41
105,"Comedy",6,NA
152,"Crime",6.8,NA
97,"Action",5.2,44.94
118,"Comedy",7.3,1.66
107,"Action",5.3,NA
107,"Biography",7,0.09
130,"Comedy",6.7,69.49
128,"Action",6.1,67.36
120,"Biography",7.3,51.02
102,"Comedy",6.2,171.96
76,"Horror",5.3,15.95
124,"Drama",7.4,7.65
85,"Animation",6.3,60.31
114,"Action",6.8,270.62
121,"Action",6.9,127.2
96,"Action",6.6,31.45
141,"Crime",7.1,17.84
113,"Biography",6.3,0.39
136,"Adventure",7.3,26.02
102,"Drama",7.6,608.58
118,"Animation",7.6,50.32
112,"Comedy",6,NA
118,"Action",7.1,NA
100,"Action",6.8,216.65
105,"Comedy",6,0.05
121,"Action",6.7,68.55
122,"Action",7.1,102.08
124,"Biography",6.3,50.07
104,"Adventure",7.1,16.47
104,"Action",5.3,NA
101,"Action",6.5,0
109,"Crime",6.5,35.42
116,"Action",5.3,0.01
85,"Horror",5.2,30.82
139,"Crime",6.5,24.43
143,"Action",6.2,0.05
101,"Comedy",4.7,NA
148,"Action",7,58.03
98,"Action",5.9,NA
113,"Adventure",5.8,44.95
102,"Comedy",5.7,1.23
112,"Comedy",6.9,0.99
100,"Action",6.5,17.49
122,"Biography",6.6,54.55
